Site ID,latitude,longitude,IGBP
AU-Dry,-15.2588,132.3706,SAV
AU-How,-12.4943,131.1523,WSA
BE-Lon,50.5516,4.7462,CRO
CD-Ygb,0.8144,24.5025,MF
CH-Dav,46.8153,9.8559,ENF
CZ-Lnz,48.6816,16.9464,MF
DE-Hai,51.0792,10.453,DBF
DE-RuR,50.6219,6.3041,GRA
DE-Tha,50.9626,13.5651,ENF
ES-LMa,39.9415,-5.7734,SAV
FR-Fon,48.4764,2.7801,DBF
GF-Guy,5.2788,-52.9249,EBF
IT-Noe,40.6062,8.1512,CSH
US-Rpf,65.1198,-147.429,DBF
US-SRG,31.7894,-110.8277,GRA
US-Tw4,38.1027,-121.6413,WET
US-UMB,45.5598,-84.7138,DBF
US-UMd,45.5625,-84.6975,DBF
US-Var,38.4133,-120.9507,GRA
US-xDS,28.125,-81.4362,CVM
